2023-01-02 09:00:01.336132, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-02 09:15:01.063093, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-02 09:30:02.118834, B/S PRICE:16737.27, TYPE: sell, STOP: 16753.29, TARGET: 16705.259999999995
2023-01-02 09:45:00.818131, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 10:00:01.551401, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 10:15:00.959100, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 10:30:00.940255, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 10:38:12.406005, B/S PRICE:16703.0, TYPE: GAIN, STOP: 0, TARGET: 0
2023-01-02 10:45:01.877048, B/S PRICE:16691.13, TYPE: sell, STOP: 16728.6, TARGET: 16612.14
2023-01-02 11:00:01.189182, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 11:15:01.147294, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 11:30:01.232291, B/S PRICE:0, TYPE: sell, STOP: 16717.41, TARGET: 16636.439999999995
2023-01-02 11:45:00.953184, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 12:00:01.957978, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 12:15:01.106659, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 12:30:01.568386, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 12:32:16.437642, B/S PRICE:16729.1, TYPE: STOP, STOP: 0, TARGET: 0
2023-01-02 12:45:02.528490, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-02 13:00:02.217296, B/S PRICE:16735.49, TYPE: sell, STOP: 16751.9, TARGET: 16700.179999999997
2023-01-02 13:15:00.941674, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 13:30:01.618059, B/S PRICE:0, TYPE: sell, STOP: 16744.51, TARGET: 16705.660000000007
2023-01-02 13:45:00.963420, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 14:00:01.575412, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 14:15:03.019994, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 14:30:01.549482, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 14:45:01.737256, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 15:00:01.644121, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-02 15:15:01.801192, B/S PRICE:0, TYPE: sell, STOP: 16723.99, TARGET: 16679.319999999992
2023-01-02 15:30:01.826408, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
